,image,head_pose,drowsiness,emotion,label,result
18,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0372.jpg,,Active!!,Bored,0.0,Not Engaged
19,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0053.jpg,0.0,Active!!,Confused,0.5,Not Engaged
20,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0355.jpg,0.0,Active!!,Engaged,0.85,Engaged
21,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0203.jpg,0.0,Active!!,Confused,0.5,Not Engaged
22,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0006.jpg,0.0,Active!!,Confused,0.5,Not Engaged
23,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0070.jpg,0.0,Active!!,Confused,0.5,Not Engaged
24,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0436.jpg,0.0,Active!!,Confused,0.5,Not Engaged
25,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0092.jpg,0.0,Active!!,Confused,0.5,Not Engaged
26,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0057.jpg,0.0,Active!!,Confused,0.5,Not Engaged
27,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0450.jpg,0.0,Active!!,Confused,0.5,Not Engaged
28,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0240.jpg,0.0,Active!!,Confused,0.5,Not Engaged
29,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0044.jpg,0.0,Active!!,Bored,0.0,Not Engaged
30,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0078.jpg,0.0,Active!!,Confused,0.5,Not Engaged
31,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0091.jpg,0.0,Active!!,Confused,0.5,Not Engaged
32,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0011.jpg,0.0,Active!!,Confused,0.5,Not Engaged
33,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0404.jpg,0.0,Active!!,Bored,0.0,Not Engaged
34,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0171.jpg,0.0,Active!!,Confused,0.5,Not Engaged
35,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0410.jpg,0.0,Active!!,Bored,0.0,Not Engaged
36,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0184.jpg,0.0,Active!!,Confused,0.5,Not Engaged
37,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0056.jpg,0.0,Active!!,Confused,0.5,Not Engaged
38,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0019.jpg,0.0,Active!!,Confused,0.5,Not Engaged
39,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0008.jpg,0.0,Active!!,Confused,0.5,Not Engaged
40,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0429.jpg,0.0,Active!!,Confused,0.5,Not Engaged
41,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0116.jpg,0.0,Active!!,Confused,0.5,Not Engaged
42,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0061.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
43,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0431.jpg,0.0,Active!!,Confused,0.5,Not Engaged
44,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0082.jpg,0.0,Active!!,Confused,0.5,Not Engaged
45,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0207.jpg,0.0,Active!!,Confused,0.5,Not Engaged
46,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0178.jpg,0.0,Active!!,Confused,0.5,Not Engaged
47,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0107.jpg,0.0,Active!!,Confused,0.5,Not Engaged
48,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0067.jpg,0.0,Active!!,Bored,0.0,Not Engaged
49,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0027.jpg,0.0,Active!!,Confused,0.5,Not Engaged
50,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0076.jpg,0.0,Active!!,Confused,0.5,Not Engaged
51,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0175.jpg,0.0,Active!!,Confused,0.5,Not Engaged
52,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0403.jpg,0.0,Active!!,Bored,0.0,Not Engaged
53,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0026.jpg,0.0,Active!!,Confused,0.5,Not Engaged
54,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0021.jpg,0.0,Active!!,Confused,0.5,Not Engaged
55,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0181.jpg,0.0,Active!!,Confused,0.5,Not Engaged
56,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0145.jpg,0.0,Active!!,Confused,0.5,Not Engaged
57,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0252.jpg,0.0,Active!!,Engaged,0.85,Engaged
58,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0065.jpg,0.0,Active!!,Confused,0.5,Not Engaged
59,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0140.jpg,0.0,Active!!,Confused,0.5,Not Engaged
60,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0079.jpg,0.0,Active!!,Confused,0.5,Not Engaged
61,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0271.jpg,0.0,Active!!,Confused,0.5,Not Engaged
62,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0005.jpg,0.0,Active!!,Confused,0.5,Not Engaged
63,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0042.jpg,0.0,Active!!,Bored,0.0,Not Engaged
64,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0490.jpg,0.0,Active!!,Confused,0.5,Not Engaged
65,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0405.jpg,0.0,Active!!,Bored,0.0,Not Engaged
66,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0433.jpg,0.0,Active!!,Confused,0.5,Not Engaged
67,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0415.jpg,0.0,Active!!,Confused,0.5,Not Engaged
68,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0040.jpg,0.0,Active!!,Bored,0.0,Not Engaged
69,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0094.jpg,0.0,Active!!,Confused,0.5,Not Engaged
70,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0289.jpg,0.0,Active!!,Confused,0.5,Not Engaged
71,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0387.jpg,,Active!!,Bored,0.0,Not Engaged
72,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0132.jpg,0.0,Active!!,Confused,0.5,Not Engaged
73,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0380.jpg,,Active!!,Confused,0.5,Not Engaged
74,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0386.jpg,,Active!!,Bored,0.0,Not Engaged
75,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0369.jpg,,Active!!,Confused,0.5,Not Engaged
76,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0439.jpg,0.0,Active!!,Confused,0.5,Not Engaged
77,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0247.jpg,0.0,Active!!,Confused,0.5,Not Engaged
78,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0423.jpg,0.0,Active!!,Confused,0.5,Not Engaged
79,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0475.jpg,0.0,Active!!,Confused,0.5,Not Engaged
80,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0424.jpg,0.0,Active!!,Confused,0.5,Not Engaged
81,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0226.jpg,0.0,Active!!,Confused,0.5,Not Engaged
82,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0282.jpg,0.0,Active!!,Bored,0.0,Not Engaged
83,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0009.jpg,0.0,Active!!,Confused,0.5,Not Engaged
84,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0432.jpg,0.0,Active!!,Confused,0.5,Not Engaged
85,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0438.jpg,0.0,Active!!,Confused,0.5,Not Engaged
86,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0023.jpg,0.0,Active!!,Confused,0.5,Not Engaged
87,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0046.jpg,0.0,Active!!,Bored,0.0,Not Engaged
88,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0279.jpg,0.0,Active!!,Confused,0.5,Not Engaged
89,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0146.jpg,0.0,Active!!,Confused,0.5,Not Engaged
90,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0237.jpg,0.0,Active!!,Confused,0.5,Not Engaged
91,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0268.jpg,0.0,Active!!,Bored,0.0,Not Engaged
92,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0377.jpg,,Active!!,Bored,0.0,Not Engaged
93,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0292.jpg,0.0,Active!!,Confused,0.5,Not Engaged
94,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0055.jpg,0.0,Active!!,Confused,0.5,Not Engaged
95,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0238.jpg,0.0,Active!!,Confused,0.5,Not Engaged
96,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0290.jpg,0.0,Active!!,Engaged,0.85,Engaged
97,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0031.jpg,0.0,Active!!,Confused,0.5,Not Engaged
98,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0093.jpg,0.0,Active!!,Confused,0.5,Not Engaged
99,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0214.jpg,0.0,Active!!,Confused,0.5,Not Engaged
100,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0454.jpg,0.0,Active!!,Confused,0.5,Not Engaged
101,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0169.jpg,1.0,Active!!,Confused,0.65,Engaged
102,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0402.jpg,0.0,Active!!,Confused,0.5,Not Engaged
103,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0421.jpg,0.0,Active!!,Confused,0.5,Not Engaged
104,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0068.jpg,0.0,Active!!,Bored,0.0,Not Engaged
105,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0228.jpg,0.0,Active!!,Confused,0.5,Not Engaged
106,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0110.jpg,0.0,Active!!,Confused,0.5,Not Engaged
107,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0032.jpg,0.0,Active!!,Confused,0.5,Not Engaged
108,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0195.jpg,0.0,Active!!,Confused,0.5,Not Engaged
109,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0261.jpg,0.0,Active!!,Confused,0.5,Not Engaged
110,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0277.jpg,0.0,Active!!,Engaged,0.85,Engaged
111,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0457.jpg,0.0,Active!!,Confused,0.5,Not Engaged
112,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0455.jpg,0.0,Active!!,Confused,0.5,Not Engaged
113,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0370.jpg,,Active!!,Confused,0.5,Not Engaged
114,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0135.jpg,0.0,Active!!,Confused,0.5,Not Engaged
115,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0136.jpg,0.0,Active!!,Confused,0.5,Not Engaged
116,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0350.jpg,0.0,Active!!,Confused,0.5,Not Engaged
117,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0111.jpg,0.0,Active!!,Confused,0.5,Not Engaged
118,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0188.jpg,0.0,Active!!,Confused,0.5,Not Engaged
119,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0193.jpg,0.0,Active!!,Confused,0.5,Not Engaged
120,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0351.jpg,0.0,Active!!,Engaged,0.85,Engaged
121,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0345.jpg,0.0,Active!!,Confused,0.5,Not Engaged
122,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0440.jpg,0.0,Active!!,Confused,0.5,Not Engaged
123,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0376.jpg,,Active!!,Bored,0.0,Not Engaged
124,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0117.jpg,0.0,Active!!,Confused,0.5,Not Engaged
125,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0250.jpg,0.0,Active!!,Confused,0.5,Not Engaged
126,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0435.jpg,0.0,Active!!,Confused,0.5,Not Engaged
127,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0002.jpg,0.0,Active!!,Confused,0.5,Not Engaged
128,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0018.jpg,0.0,Active!!,Confused,0.5,Not Engaged
129,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0348.jpg,0.0,Active!!,Confused,0.5,Not Engaged
130,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0347.jpg,0.0,Active!!,Confused,0.5,Not Engaged
131,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0442.jpg,0.0,Active!!,Confused,0.5,Not Engaged
132,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0381.jpg,,Active!!,Confused,0.5,Not Engaged
133,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0089.jpg,0.0,Active!!,Confused,0.5,Not Engaged
134,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0017.jpg,0.0,Active!!,Confused,0.5,Not Engaged
135,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0003.jpg,0.0,Active!!,Confused,0.5,Not Engaged
136,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0010.jpg,0.0,Active!!,Confused,0.5,Not Engaged
137,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0390.jpg,0.0,Active!!,Bored,0.0,Not Engaged
138,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0413.jpg,0.0,Active!!,Confused,0.5,Not Engaged
139,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0052.jpg,0.0,Active!!,Confused,0.5,Not Engaged
140,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0213.jpg,0.0,Active!!,Confused,0.5,Not Engaged
141,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0452.jpg,0.0,Active!!,Confused,0.5,Not Engaged
142,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0258.jpg,0.0,Active!!,Confused,0.5,Not Engaged
143,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0416.jpg,0.0,Active!!,Confused,0.5,Not Engaged
144,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0259.jpg,0.0,Active!!,Confused,0.5,Not Engaged
145,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0422.jpg,0.0,Active!!,Confused,0.5,Not Engaged
146,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0465.jpg,0.0,Active!!,Confused,0.5,Not Engaged
147,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0460.jpg,0.0,Active!!,Confused,0.5,Not Engaged
148,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0398.jpg,0.0,Active!!,Confused,0.5,Not Engaged
149,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0341.jpg,0.0,Active!!,Confused,0.5,Not Engaged
150,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0441.jpg,0.0,Active!!,Confused,0.5,Not Engaged
151,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0120.jpg,0.0,Active!!,Confused,0.5,Not Engaged
152,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0209.jpg,0.0,Active!!,Confused,0.5,Not Engaged
153,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0119.jpg,0.0,Active!!,Confused,0.5,Not Engaged
154,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0362.jpg,0.0,Active!!,Bored,0.0,Not Engaged
155,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0025.jpg,0.0,Active!!,Confused,0.5,Not Engaged
156,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0013.jpg,0.0,Active!!,Confused,0.5,Not Engaged
157,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0131.jpg,0.0,Active!!,Confused,0.5,Not Engaged
158,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0349.jpg,0.0,Active!!,Confused,0.5,Not Engaged
159,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0260.jpg,0.0,Active!!,Confused,0.5,Not Engaged
160,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0022.jpg,0.0,Active!!,Confused,0.5,Not Engaged
161,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0264.jpg,0.0,Active!!,Bored,0.0,Not Engaged
162,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0456.jpg,0.0,Active!!,Confused,0.5,Not Engaged
163,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0434.jpg,0.0,Active!!,Confused,0.5,Not Engaged
164,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0468.jpg,0.0,Active!!,Confused,0.5,Not Engaged
165,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0363.jpg,0.0,Active!!,Bored,0.0,Not Engaged
166,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0179.jpg,0.0,Active!!,Confused,0.5,Not Engaged
167,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0020.jpg,0.0,Active!!,Confused,0.5,Not Engaged
168,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0232.jpg,0.0,Active!!,Confused,0.5,Not Engaged
169,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0266.jpg,0.0,Active!!,Bored,0.0,Not Engaged
170,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0262.jpg,0.0,Active!!,Confused,0.5,Not Engaged
171,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0102.jpg,0.0,Active!!,Confused,0.5,Not Engaged
172,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0126.jpg,0.0,Active!!,Confused,0.5,Not Engaged
173,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0049.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
174,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0075.jpg,0.0,Active!!,Confused,0.5,Not Engaged
175,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0134.jpg,0.0,Active!!,Confused,0.5,Not Engaged
176,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0073.jpg,0.0,Active!!,Confused,0.5,Not Engaged
177,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0480.jpg,0.0,Active!!,Confused,0.5,Not Engaged
178,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0489.jpg,0.0,Active!!,Confused,0.5,Not Engaged
179,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0125.jpg,0.0,Active!!,Confused,0.5,Not Engaged
180,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0041.jpg,0.0,Active!!,Bored,0.0,Not Engaged
181,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0028.jpg,0.0,Active!!,Confused,0.5,Not Engaged
182,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0121.jpg,0.0,Active!!,Confused,0.5,Not Engaged
183,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0243.jpg,0.0,Active!!,Confused,0.5,Not Engaged
184,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0338.jpg,0.0,Active!!,Confused,0.5,Not Engaged
185,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0354.jpg,0.0,Active!!,Engaged,0.85,Engaged
186,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0029.jpg,0.0,Active!!,Confused,0.5,Not Engaged
187,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0172.jpg,0.0,Active!!,Bored,0.0,Not Engaged
188,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0182.jpg,0.0,Active!!,Confused,0.5,Not Engaged
189,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0196.jpg,0.0,Active!!,Confused,0.5,Not Engaged
190,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0409.jpg,0.0,Active!!,Bored,0.0,Not Engaged
191,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0083.jpg,0.0,Active!!,Confused,0.5,Not Engaged
192,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0144.jpg,0.0,Active!!,Confused,0.5,Not Engaged
193,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0486.jpg,0.0,Active!!,Confused,0.5,Not Engaged
194,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0062.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
195,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0043.jpg,0.0,Active!!,Bored,0.0,Not Engaged
196,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0470.jpg,0.0,Active!!,Confused,0.5,Not Engaged
197,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0295.jpg,0.0,Active!!,Confused,0.5,Not Engaged
198,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0048.jpg,0.0,Active!!,Frustrated,0.25,Not Engaged
199,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0458.jpg,0.0,Active!!,Confused,0.5,Not Engaged
200,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0278.jpg,0.0,Active!!,Bored,0.0,Not Engaged
201,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0485.jpg,0.0,Active!!,Confused,0.5,Not Engaged
202,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0471.jpg,0.0,Active!!,Confused,0.5,Not Engaged
203,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0014.jpg,0.0,Active!!,Confused,0.5,Not Engaged
204,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0064.jpg,0.0,Active!!,Bored,0.0,Not Engaged
205,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0097.jpg,0.0,Active!!,Confused,0.5,Not Engaged
206,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0088.jpg,0.0,Active!!,Confused,0.5,Not Engaged
207,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0227.jpg,0.0,Active!!,Confused,0.5,Not Engaged
208,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0192.jpg,0.0,Active!!,Confused,0.5,Not Engaged
209,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0352.jpg,0.0,Active!!,Engaged,0.85,Engaged
210,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0143.jpg,0.0,Active!!,Confused,0.5,Not Engaged
211,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0466.jpg,0.0,Active!!,Confused,0.5,Not Engaged
212,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0081.jpg,0.0,Active!!,Confused,0.5,Not Engaged
213,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0451.jpg,0.0,Active!!,Confused,0.5,Not Engaged
214,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0254.jpg,0.0,Active!!,Confused,0.5,Not Engaged
